"Incident Date","State","City Or County","Address","# Killed","# Injured","Operations"
2018-01-28,"Indiana","Indianapolis","1313 N Sherman Dr",2,3,"View Incident
View Source"
2018-01-27,"California","Los Angeles","243 East 119th St",0,5,"View Incident
View Source"
2018-01-27,"Kentucky","Bowling Green","645 Pearl Street",0,4,"View Incident
View Source"
2018-01-25,"District of Columbia","Washington","1600 block of Kenilworth Ave NE",0,4,"View Incident
View Source"
2018-01-23,"Pennsylvania","Philadelphia","N 24th St and Ridge Ave",0,4,"View Incident
View Source"
2018-01-23,"Kentucky","Benton","416 High School Rd",2,14,"View Incident
View Source"
2018-01-21,"Florida","Orlando","3101 Willow Bend Blvd",0,4,"View Incident
View Source"
2018-01-21,"Illinois","Chicago","3200 W Division St",0,4,"View Incident
View Source"
2018-01-17,"District of Columbia","Washington","2000 block of 16th St SE",1,3,"View Incident
View Source"
2018-01-15,"Florida","Alachua","14223 NW 156th Pl",0,5,"View Incident
View Source"
2018-01-14,"Alabama","Eutaw","809 Mesopotamia St",1,4,"View Incident
View Source"
2018-01-14,"Alabama","Madison","101 Westchester Dr",0,4,"View Incident
View Source"
2018-01-12,"Tennessee","Nashville","2614 Jenkins Ct",3,2,"View Incident
View Source"
2018-01-11,"Missouri","Saint Robert (St Robert)","St Robert Outer Road and Houston Road",2,2,"View Incident
View Source"
2018-01-07,"Alabama","Union Springs","U.S. Highway 29",1,5,"View Incident
View Source"
2018-01-07,"Florida","Plantation","5225 W Broward Blvd",0,4,"View Incident
View Source"
2018-01-05,"Mississippi","Hattiesburg","6168 US 49",0,6,"View Incident
View Source"
2018-01-04,"Arkansas","Brinkley","615 W 6th St",1,3,"View Incident
View Source"
2018-01-01,"Alabama","Huntsville","2025 Sparkman Dr NW",1,3,"View Incident
View Source"
