game,team,score,fill,text,win
1,Virginia,27,#F84C1E,#FFFFFF,-1
1,Pitt,24.4,#1C2957,#CDB87D,1
2,Ravens,28.4,#241773,#FFFFFF,-1
2,Steelers,20.8,#FFB612,#000000,1
3,Patriots,34.4,#002244,#FFFFFF,-1
3,Packers,16.8,#203731,#FFFFFF,1
