game,team,score,fill,text,win
1,Army,35,#D4BF91,#FFFFFF,1
1,Navy,19.2,#00205B,#FFFFFF,-1
2,Steelers,31.4,#FFB612,#FFFFFF,1
2,Raiders,15.2,#A5ACAF,#FFFFFF,-1
3,Raptors,114,#CE1141,#FFFFFF,1
3,Nets,107,#000000,#FFFFFF,-1
