game,team,score,fill,text,win
1,Wake Forest,26.6,#A67F31,#000000,1
1,Pitt,35.6,#1C2957,#CDB87D,-1
2,Steelers,29.6,#FFB612,#000000,-1
2,Jaguars,17,#006778,#FFFFFF,1
3,Chiefs,27.5,#E31837,#FFFFFF,1
3,Rams,29.3,#002244,#FFFFFF,-1
