game,team,score,fill,text
1,Los Angeles Rams,20.6,#866D4B,#FFFFFF
1,New Orleans Saint,27,#D3BC8D,#FFFFFF
2,New England Patriots ,27.4,#C60C30,#FFFFFF
2,Kansas City Chiefs,25.7,#E31837,#FFFFFF
