game,team,score,fill,text,win
1,Virginia Tech,26.9,#630031,#FFFFFF,1
1,Pitt,30.1,#1C2957,#CDB87D,-1
2,Rams,32,#002244,#FFFFFF,-1
2,Seahawks,19.3,#69BE28,#FFFFFF,1
3,Cowboys,11.9,#041E42,#FFFFFF,1
3,Eagles,31.9,#004C54,#A5ACAF,-1
